Wed Aug 01 21:33:53 2012] [error] [client 77.22.235.37] (controller,action) -> (app,welcome), referer: http://www.pythononwheels.org/app/welcome
[Wed Aug 01 21:33:53 2012] [error] [client 77.22.235.37] Loading Class: AppController, referer: http://www.pythononwheels.org/app/welcome
[Wed Aug 01 21:33:53 2012] [error] [client 77.22.235.37] setting Action:  welcome, referer: http://www.pythononwheels.org/app/welcome
[Wed Aug 01 21:36:15 2012] [error] [client 77.22.235.37] -- session: ['user.id', 'counter', '_accessed_time', '_creation_time'], referer: http://www.pythononwheels.org/app/welcome
[Wed Aug 01 21:36:15 2012] [error] [client 77.22.235.37] -- PoW: req.content_type:  , referer: http://www.pythononwheels.org/app/welcome
[Wed Aug 01 21:36:15 2012] [error] [client 77.22.235.37] -- PoW: req.method GET, referer: http://www.pythononwheels.org/app/welcome
[Wed Aug 01 21:36:15 2012] [error] [client 77.22.235.37] -- PoW: path_info /app/welcome, referer: http://www.pythononwheels.org/app/welcome
[Wed Aug 01 21:36:15 2012] [error] [client 77.22.235.37] -- PoW: req.params UnicodeMultiDict([]), referer: http://www.pythononwheels.org/app/welcome
[Wed Aug 01 21:36:15 2012] [error] [client 77.22.235.37] -- PoW: req.body , referer: http://www.pythononwheels.org/app/welcome
[Wed Aug 01 21:36:15 2012] [error] [client 77.22.235.37] -- PoW: req.path_url http://www.pythononwheels.org/app/welcome, referer: http://www.pythononwheels.org/app/welcome
[Wed Aug 01 21:36:15 2012] [error] [client 77.22.235.37] -- PoW: req.application_url:  http://www.pythononwheels.org, referer: http://www.pythononwheels.org/app/welcome
[Wed Aug 01 21:36:15 2012] [error] [client 77.22.235.37] UnicodeMultiDict([]), referer: http://www.pythononwheels.org/app/welcome
[Wed Aug 01 21:36:15 2012] [error] [client 77.22.235.37] /app/welcome, referer: http://www.pythononwheels.org/app/welcome
[Wed Aug 01 21:36:15 2012] [error] [client 77.22.235.37] -- Dynamic REQUEST --------------------------------------------------------- , referer: http://www.pythononwheels.org/app/welcome
